phase,status,round,category,bet_id,pick_id,bet,pick,american_odds,fractional_odds,probability,total_probability,result
1,Open,Tournament,Top Finisher,1,1,"Win Tournament","Dan Mercer",110,11/10,0.47619047619047616,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,2,"Win Tournament","Ethan Kipping",250,5/2,0.2857142857142857,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,3,"Win Tournament","Devin Arand",350,7/2,0.2222222222222222,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,4,"Win Tournament","Garrett Klenke",400,4/1,0.2,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,5,"Win Tournament","Alex Leslie",1200,12/1,0.07692307692307693,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,6,"Win Tournament","Pat Leicht",1500,15/1,0.0625,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,7,"Win Tournament","Don Harris",2500,25/1,0.038461538461538464,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,8,"Win Tournament","Dustin Scheller",3000,30/1,0.03225806451612903,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,9,"Win Tournament","Derek Mercer",3500,35/1,0.027777777777777776,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,10,"Win Tournament","Jake Kohne",5000,50/1,0.0196078431372549,1.451556275041771,Pending
1,Open,Tournament,Top Finisher,1,11,"Win Tournament","Field",10000,100/1,0.009900990099009901,1.451556275041771,Pending
1,Open,Round 1,Match,2,12,"Match","Dan Mercer",-260,13/18,0.7222222222222222,1,Pending
1,Open,Round 1,Match,2,13,"Match","Garrett Klenke",260,13/5,0.2777777777777778,1,Pending
1,Open,Round 1,Match,3,14,"Match","Ethan Kipping",-130,13/23,0.5652173913043478,1,Pending
1,Open,Round 1,Match,3,15,"Match","Devin Arand",130,13/10,0.43478260869565216,1,Pending
1,Open,Round 1,Match,3,30,"Match","Jake Kohne",5000,50/1,0.0196078431372549,1,Pending
1,Open,Round 1,Match,3,31,"Match","Steve Jones",5000,50/1,0.0196078431372549,1,Pending
1,Open,Round 1,Match,3,32,"Match","Field",10000,100/1,0.009900990099009901,1,Pending
